,0
0,612
1,257
2,20011
3,6408
4,6232
5,1370
6,4377
7,4526
8,697
9,1466
10,6905
11,328
12,2462
13,1972
14,2974
15,2711
16,742
17,1762
18,697
19,3188
20,289
21,8975
22,2612
23,1095
24,6729
25,3236
26,3657
27,206
28,1320
29,3666
30,1101
31,441
32,1902
33,3881
34,5020
35,9942
36,2441
37,16218
38,4615
39,7048
40,10169
41,787
42,2912
43,219
44,1533
45,7252
46,7419
47,3063
48,1126
49,2509
50,624
51,1585
52,5265
53,980
54,6611
55,3780
56,5798
57,7827
58,3361
59,1208
60,2766
61,3440
62,404
63,11224
64,985
65,2888
66,3114
67,4060
68,2323
69,361
70,2197
71,872
72,4835
73,1480
74,1949
75,1235
76,1259
77,2725
78,2991
79,437
80,6349
81,7489
82,8063
83,1237
84,1762
85,472
86,12353
87,5429
88,1514
89,239
90,410
91,7802
92,606
93,1075
94,2814
95,1499
96,14297
97,336
98,2548
99,10818
