w1,w2,w3,w4,score,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10
1.0,1.0,0.22685167120541577,0.6506126752400364,3985.9,883,3735,10549,3613,2874,4149,207,8956,2850,2043
1.0,1.0,0.22216945893415163,0.6489701936601815,4680.1,1686,5270,999,671,19105,354,1908,12970,1184,2654
1.0,1.0,0.21187323149988713,0.6474638151566628,6704.2,2274,11116,5986,1469,4762,5007,8509,17504,8171,2244
1.0,1.0,0.18805217082145848,0.644906578800758,1392.9,2457,274,514,3197,1080,93,3093,1011,327,1883
1.0,1.0,0.2244753919995252,0.6446318188019902,4663.3,1302,10861,8995,1526,13574,216,888,1981,4536,2754
1.0,1.0,0.221781999966922,0.6368743694312644,3223.3,1326,4945,2742,652,8627,3515,2283,3445,1627,3071
1.0,1.0,0.22288888546987257,0.6413247283476049,3202.8,5746,495,2880,7837,551,1882,501,3874,6423,1839
1.0,1.0,0.22389611543882845,0.6467172179069385,3688.9,4618,3166,2872,10893,1044,1549,7983,690,2875,1199
1.0,1.0,0.22441966925193502,0.6447839671047931,4764.2,2624,9299,1062,5067,10560,4539,131,7517,6504,339
1.0,1.0,0.22116303713092805,0.6369262177953181,3126.5,12862,554,2360,1183,5671,2130,1731,1688,657,2429
1.0,1.0,0.22186469255211388,0.6446625398350903,2855.3,549,791,2662,4324,1108,2689,8230,2243,3177,2780
1.0,1.0,0.22186972980837824,0.6763363241598825,2725.9,1222,1537,1230,608,5909,2355,354,5376,6405,2263
1.0,1.0,0.24079249780333306,0.6316523469383125,2346.6,165,793,2416,1150,282,192,2353,12161,33,3921
1.0,1.0,0.226407973882158,0.7021385843719666,3088.2,1611,2053,3803,6074,643,9309,2590,2174,2288,337
0.0,1.0,0.2169064154807556,0.6669612226888143,2179.2,185,5304,218,3906,756,3097,4081,2182,1880,183
1.0,1.0,0.24842894203520552,0.6422716275308694,2409.8,1763,2420,2579,1113,68,5548,3524,4313,1636,1134
1.0,1.0,0.23562698600370857,0.7175338561864413,2102.7,912,1399,2794,4159,963,5677,997,588,1695,1843
0.0,1.0,0.21486608285369907,0.6185255059033404,4174.5,13436,216,3713,2506,1945,1116,10444,679,392,7298
0.0,1.0,0.20900503662574998,0.6145581885535897,3414.9,2236,4635,2263,4919,6408,5791,2007,1596,2940,1354
0.0,1.0,0.21019426921824821,0.6151278364045929,3127.2,4663,1549,6020,783,9793,408,2021,819,734,4482
0.0,1.0,0.21764386271869865,0.615885221887618,3459.3,5028,6924,481,9309,102,4669,1052,1952,1708,3368
0.0,1.0,0.22031929535673914,0.6156593598679782,3943.2,4667,108,136,14128,7474,1493,5770,2039,828,2789
0.0,1.0,0.21581113687844178,0.6135105288245254,3000.0,161,4862,1278,3011,6754,973,4421,2653,2892,2995
0.0,1.0,0.23675831584903356,0.6164886628989074,3953.0,2710,6780,8605,5775,1124,287,1340,10535,1663,711
0.0,1.0,0.23957657489877657,0.6139369756904917,1802.0,2360,1231,687,692,847,1327,108,3694,875,6199
1.0,1.0,0.19735249316332704,0.6539811692519428,1707.0,1410,1287,4094,461,153,2348,1051,3460,510,2296
0.0,1.0,0.2553970082712362,0.6568157939040963,3213.8,595,14193,5397,3031,2657,1570,1638,550,2117,390
0.0,1.0,0.25393194870677704,0.6570276181773538,3116.7,3985,1275,7180,6002,1257,445,3316,3252,1647,2808
0.0,1.0,0.24349043057677766,0.6975463348499639,3250.3,3505,245,1902,1461,172,14965,1440,31,1866,6916
1.0,1.0,0.25072299964060724,0.6406088899947642,2732.7,1909,1739,6270,7255,370,557,4731,1067,2816,613
0.0,1.0,0.23350230988899523,0.703560595682909,4889.8,1916,3591,503,12776,1210,13668,7197,1816,660,5561
0.0,1.0,0.24011163365997812,0.7468550704260813,3427.2,2099,519,3373,4866,234,218,2220,7058,4512,9173
0.0,1.0,0.24136076318437047,0.7561225383113539,3220.5,8165,1167,36,4915,6413,6239,447,1580,1322,1921
1.0,1.0,0.24042809312686245,0.7482541266976688,3164.6,7340,2051,1526,2290,513,3505,1802,5342,2013,5264
0.0,1.0,0.23869924173718035,0.7359931057415102,2730.9,5837,4984,1839,858,233,1301,2428,2138,235,7456
0.0,1.0,0.22902704492778958,0.7008914805463021,1870.3,1625,959,2015,3193,1379,6378,866,843,752,693
0.0,1.0,0.24570828464360714,0.6369837133600887,3065.1,3211,4614,1449,237,3166,630,488,7191,3081,6584
0.0,1.0,0.2124334072545351,0.6480288997707507,2150.3,1461,553,1503,484,336,2322,6727,518,6853,746
1.0,1.0,0.25493798532729667,0.6604021152999611,2619.6,894,392,2807,1091,740,6280,9403,392,1380,2817
1.0,1.0,0.24203132217929138,0.703870717444964,4228.1,8276,275,2628,4155,7642,1505,9261,6496,1136,907
1.0,1.0,0.24379558828398923,0.7287435153405692,1840.6,5044,2798,735,1173,2051,1257,306,434,4488,120
1.0,1.0,0.21487941911091837,0.6298210498898252,3629.4,1299,12837,2338,2231,668,3373,1958,229,7774,3587
1.0,1.0,0.21201068330831085,0.6301031690411141,2215.8,2613,140,1774,3419,6705,1987,579,1578,2591,772
1.0,1.0,0.2510934441807737,0.6385181427321192,3069.5,1683,1269,4940,8322,1724,6526,1183,1844,441,2763
1.0,1.0,0.0,0.0,7.1,16,10,13,1,2,4,14,5,0,6
0.0,1.0,0.2115918448304648,0.6530782958692465,4684.9,1342,7234,927,718,306,21952,634,2587,8954,2195
0.0,1.0,0.20207259653947127,0.6519121823915573,2230.7,882,4332,4583,414,1011,74,1118,2901,3652,3340
0.0,1.0,0.24493391963533157,0.6387091595757912,1327.2,1837,715,290,2629,1994,1401,1564,75,2059,708
1.0,1.0,0.21022106905938387,0.6898943487026149,1249.8,688,3549,3027,329,869,522,1509,52,148,1805
0.0,1.0,0.2514146244356341,0.6515891630289973,3950.0,1069,4880,7859,3471,3293,4108,1030,5274,6469,2047
0.0,1.0,0.2539705506285245,0.6462047285564602,2500.3,4525,2752,227,959,4685,823,1364,1590,2849,5229
0.0,1.0,0.24332608911721432,0.7114905158125433,4038.4,1006,8071,5317,3107,195,5470,781,4901,1401,10135
0.0,1.0,0.2447525899030706,0.7349453189797891,3196.7,660,1344,1925,13288,426,3852,8515,467,1388,102
0.0,1.0,0.24459688219741713,0.732454335806924,2429.2,3118,2402,1266,6053,4491,96,1227,3757,842,1040
0.0,1.0,0.24401765634523306,0.6340788216850975,3839.7,79,2376,101,6442,5317,4225,7673,7504,228,4452
0.0,1.0,0.24659942691937525,0.6316679923368707,5899.7,5092,1943,27965,10010,143,4789,2903,2180,99,3873
0.0,1.0,0.2545669511857266,0.6206453420208657,3441.1,709,6161,1754,2138,1502,5794,909,5194,3237,7013
0.0,1.0,0.25501643477240427,0.6204036860314202,5779.6,2622,261,5773,4114,14089,19957,274,952,6524,3230
0.0,1.0,0.26362799717333263,0.6107768769199966,2621.4,5082,3057,2503,1305,3584,3584,1284,879,4801,135
0.0,1.0,0.2596345563231527,0.6139983347698272,4237.5,5514,5053,10,580,3631,827,2341,1715,16262,6442
