w1,w2,w3,w4,score,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10,Game11,Game12,Game13,Game14,Game15,Game16,Game17,Game18,Game19,Game20,Game21,Game22,Game23,Game24,Game25,Game26,Game27,Game28,Game29,Game30,Game31,Game32,Game33,Game34,Game35,Game36,Game37,Game38,Game39,Game40,Game41,Game42,Game43,Game44,Game45,Game46,Game47,Game48,Game49
0.5928446182250184,0.8442657485810175,0.857945617622757,0.8472517387841256,42.76,60,44,32,54,44,72,69,22,48,44,45,21,34,76,59,33,25,68,32,54,85,22,37,43,33,30,53,59,28,34,28,65,35,31,32,42,20,40,35,37,26,37,30,28,61,20,41,59,37,74
0.6235636967859725,0.38438170729269994,0.29753460654447234,0.056712977317443194,41.3,53,20,42,24,20,9,42,22,30,32,49,25,29,31,30,39,54,22,69,47,78,26,23,54,46,57,26,60,49,34,19,58,28,68,93,28,36,50,10,36,33,74,111,63,13,18,28,28,71,58
0.27265629458011326,0.47766511732135,0.8121687287754934,0.47997717237505744,33.84,52,14,35,60,36,15,26,14,40,30,38,33,30,46,30,26,34,19,45,17,42,17,23,39,21,17,32,23,54,38,41,42,31,20,54,21,37,64,47,33,33,25,37,20,31,9,22,65,73,41
0.39278479610082984,0.8360787635373778,0.33739616041726844,0.6481718720511973,2549.66,1330,5063,1891,206,4122,312,2351,5079,1061,187,2615,817,4185,504,1626,1482,207,555,2241,5909,3109,1746,3717,2368,1244,1016,1125,2174,2899,157,983,838,934,138,4186,407,1509,2937,3716,7193,25526,224,2041,4458,2723,953,2125,4642,201,451
0.368241539840548,0.9571551589530466,0.14035078041264518,0.8700872583584366,927.74,546,685,1640,2446,997,62,917,207,56,3227,3001,260,1399,3707,579,77,170,775,1415,333,1923,1645,1375,743,372,124,455,27,915,165,13,992,569,468,453,522,2270,1925,1144,457,502,198,1490,602,622,1035,474,567,822,1019
0.4736080452737106,0.8009107519796445,0.5204774795512049,0.6788795301189604,168.92,83,66,180,89,54,127,71,235,122,277,489,163,201,57,45,70,190,84,80,116,282,417,138,110,96,65,218,92,191,192,475,43,113,54,63,475,71,174,144,170,262,92,137,315,98,143,121,205,559,132
0.7206326547259169,0.5820197920751072,0.5373732294490108,0.7586156243223574,141.4,37,144,80,253,157,60,200,157,167,108,170,149,109,145,153,84,120,205,199,146,207,57,37,220,39,302,77,153,149,89,38,64,171,60,133,377,110,400,121,348,29,67,96,128,149,121,145,68,213,59
0.10590760718779216,0.47360041934665753,0.18633234332676,0.7369181771289582,3617.36,8631,163,11763,1445,464,1507,11126,1639,2321,927,2568,1795,5973,576,6273,3716,605,747,10376,5621,3104,2131,1950,12005,7088,12747,3565,2904,6591,1168,432,316,553,4903,2648,401,7229,75,274,3172,6857,6318,148,3063,121,555,1137,4411,707,6059
0.21655035442437193,0.13521817340545209,0.32414100779321414,0.1496748671836832,19.26,6,22,32,25,20,10,28,18,11,11,26,19,23,21,52,8,12,16,31,9,25,13,15,8,15,35,23,28,13,29,19,24,13,26,23,20,19,12,12,11,12,24,7,28,18,23,10,9,32,17
0.2223213882515877,0.38648898112586205,0.9025984755294049,0.4499499899112277,18.4,10,22,19,26,22,7,29,17,24,12,26,17,14,26,16,22,19,25,13,29,15,18,11,16,24,13,18,6,21,13,9,9,24,19,17,23,26,22,15,18,22,13,13,37,13,19,12,19,15,25
0.008692258510549358,0.3138823298228519,0.16677904430462745,0.6278223134458025,3141.08,1764,1590,4186,2433,1080,3392,293,242,2320,2533,379,3615,1592,3040,500,2383,2285,1046,1245,4977,8516,13363,1954,4529,742,5021,615,1470,2940,3416,3586,2365,3325,1930,2675,336,2505,565,1085,15309,2161,2988,2719,4136,6799,2915,7682,340,354,9818
0.1156194577890348,0.4682922377599964,0.18730098823970479,0.7336988867889773,3637.4,247,3767,857,8137,9749,651,1506,3612,4529,4644,5285,5499,5924,8071,2619,2150,941,6110,4297,1759,1372,4320,3085,4903,170,16530,4703,4202,8291,708,1827,4775,4191,2467,311,4323,4237,2017,1793,1174,4630,2133,1165,6785,1545,1157,2504,2508,3552,138
0.18614825513971195,0.3276638351337936,0.23641143423020505,0.7325682247552872,1898.84,505,1495,6298,401,1991,2630,3582,627,896,537,1038,698,197,698,290,770,3397,1554,2705,1121,2333,4472,5626,484,409,839,1731,889,2299,899,3802,2042,9478,926,1209,1777,337,400,196,1266,3889,765,2688,2143,1292,912,7958,1765,583,103
0.084469944450497,0.4573611432601884,0.1889272103494854,0.7274015554808498,3421.7,1625,1103,6359,4367,9391,2897,21745,570,1513,430,3777,4481,3832,3288,2447,8814,4346,3378,3575,731,1975,8621,1750,640,794,145,1444,5048,3176,1433,3115,5365,2909,233,4181,1633,2225,3705,883,1949,2298,8109,5000,1247,720,3208,4260,1674,2993,1683
0.13868364492870777,0.4900135210289086,0.17574933808009569,0.761136236848636,3053.7,5021,7478,465,731,1492,750,6504,2003,2539,2864,139,260,8178,203,12272,97,2835,4558,9540,3493,2354,925,858,1256,2058,509,538,2075,2105,1992,2122,1622,1735,1609,1640,1208,4886,4820,7667,1618,3807,544,9960,9735,900,2474,185,2571,5100,2390
0.048264679018215434,0.33462484125348,0.1880590720828795,0.6527029592368261,2096.38,594,6606,106,1156,5291,2862,5898,1773,983,3708,1447,835,1584,2993,7166,1386,1058,2250,375,2636,5529,1531,58,4376,274,2543,934,180,2075,211,2221,1709,4510,854,3539,311,1100,471,4743,766,2679,983,827,1630,1135,3521,567,558,897,3380
0.1296131475341888,0.3268013922466285,0.18701736875069855,0.734783243836698,2478.12,923,638,5179,398,606,2240,999,781,867,6038,3001,2494,3056,1927,2489,2416,5997,6322,1575,14810,532,2169,468,2888,1656,1715,323,2349,4473,959,70,1084,693,459,436,4814,7578,88,2480,845,2895,5604,1249,1076,3275,2721,3204,1500,744,2803
0.08813802147638902,0.4801591510469053,0.13307484987841608,0.6983250316426307,1579.92,127,92,1887,683,2534,4779,573,978,5356,542,538,528,603,1417,122,4043,165,67,4775,986,1119,3428,95,1078,323,768,714,5925,651,242,472,1091,1490,834,18,844,141,3264,5235,2972,677,1445,5038,2888,1274,1772,569,925,185,2724
0.12924848215533077,0.4701085191507378,0.18706628026935523,0.8521420040907438,2466.44,2432,1825,600,337,1804,14,1524,6223,2193,6226,5205,1454,922,3154,3693,4577,2746,3244,4664,6406,2018,4731,1388,210,3333,2714,7872,7052,656,3328,775,1278,4558,865,4024,2598,226,1062,1646,629,757,1160,3205,1310,401,2099,423,2296,940,525
0.08888205753827391,0.49589201587724185,0.18590746973985378,0.7354334855822745,3846.5,39,3255,6787,12887,476,12437,13945,1214,519,969,298,1266,3503,2773,8166,3717,1380,1040,6811,3370,2148,2828,5105,224,725,9332,2615,12801,3502,3757,351,7343,5821,2055,1353,6901,10886,1682,4649,717,224,276,1337,2305,2322,3872,2317,4771,4708,546
0.39535155862218224,0.5370600797449154,0.18563443049239056,0.7318372778084983,2952.8,6845,784,2272,605,9563,648,3359,1276,5192,2955,10566,466,1270,5431,127,713,735,1110,3598,2521,734,3675,162,200,774,6127,9652,1490,748,3494,5203,1363,1502,4299,2212,2943,2558,3259,7951,2184,7764,214,508,5235,1321,3297,169,4498,2230,1838
0.07097317288640327,0.537819574547636,0.1854844633857875,0.7322040340698184,3087.54,721,7765,263,2888,5378,471,8411,2552,2601,648,416,1277,3484,9463,4498,477,3842,9936,7668,95,6661,1319,365,524,236,583,1724,5364,828,2920,1504,2667,2487,15619,630,1869,2141,419,4330,696,2909,9047,772,519,1777,2833,450,4940,5030,360
0.0,0.6159271590898411,0.1969725396784187,0.5620949291359255,3175.54,875,1776,2052,1577,280,1934,5931,269,7845,2422,7474,3428,394,61,332,2835,688,5381,6009,4125,1560,1211,218,1772,4732,8490,3040,3392,5974,2684,8726,1086,8897,1868,1168,2150,2897,1328,7365,1028,3202,3919,3265,6042,2013,192,497,5288,6550,2535
0.037502964626959824,1.0,0.257526256589706,1.0,3132.2,3235,8196,1249,3178,418,3100,1440,101,1371,515,336,4024,2039,1337,1293,505,243,1113,9971,211,5776,1593,693,79,1036,7560,2058,1189,6821,1738,9458,601,848,361,2295,1225,7617,3318,12715,3267,3345,15908,351,315,8926,2432,6611,913,3288,398
